severity,category,rule_id,file,line,snippet,why,fix,test
P0,features,feature_module_must_not_emit_target_columns,archive/model_selector_dead/context_prediction_mapper.py,384,predictions[f'target_{column}_price'] = df['close'] / df['close'].shift(1),Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/model_selector_dead/context_prediction_mapper.py,385,predictions[f'target_{column}_direction'] = (df['close'] > df['close'].shift(1)).astype(int),Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/model_selector_dead/context_prediction_mapper.py,389,predictions[f'target_{column}_rsi'] = df['rsi'].shift(1),Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/model_selector_dead/context_prediction_mapper.py,390,predictions[f'target_{column}_rsi_signal'] = ((df['rsi'] > 70) & (df['rsi'].shift(1) < df['rsi'])).astype(int),Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/model_selector_dead/context_prediction_mapper.py,395,predictions[f'target_{column}_volume'] = (df['volume'] > volume_trend).astype(int),Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/training/pattern_aware_training.py,165,drop_cols = [col for col in frame.columns if str(col).startswith('target_')],Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/training/pattern_aware_training.py,173,target_cols = [col for col in targets.columns if str(col).startswith('target_')],Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/training/pattern_aware_training.py,178,target_cols = [col for col in frame.columns if str(col).startswith('target_')],Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/validation/temporal_feature_separator.py,159,"def _detect_direct_target_proxy(self, col: str, feature: np.ndarray, target: np.ndarray, threshold: float) -> dict[str, Any] | None:",Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/validation/temporal_feature_separator.py,166,"'pattern': 'direct_target_proxy',",Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/validation/temporal_feature_separator.py,172,"def _detect_delayed_target_redundancy(self, col: str, feature: np.ndarray, target: np.ndarray, threshold: float) -> dict[str, Any] | None:",Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/validation/temporal_feature_separator.py,185,"'pattern': 'delayed_target_redundancy',",Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/validation/temporal_feature_separator.py,212,"direct_pattern = self._detect_direct_target_proxy(col, feature, target, threshold)",Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,archive/validation/temporal_feature_separator.py,217,"delayed_pattern = self._detect_delayed_target_redundancy(col, feature, target, threshold)",Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/features/utils/hybrid_adaptive_technical_indicators.py,30,returns = prices.pct_change(fill_method=None).fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/features/utils/hybrid_adaptive_technical_indicators.py,53,delta_clean = delta.fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/features/utils/hybrid_adaptive_technical_indicators.py,83,returns = prices.pct_change(fill_method=None).fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/features/utils/hybrid_adaptive_technical_indicators.py,111,"return macd_line.fillna(0), signal_line.fillna(0), histogram.fillna(0)",fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/features/utils/hybrid_adaptive_technical_indicators.py,111,"return macd_line.fillna(0), signal_line.fillna(0), histogram.fillna(0)",fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/features/utils/hybrid_adaptive_technical_indicators.py,111,"return macd_line.fillna(0), signal_line.fillna(0), histogram.fillna(0)",fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/features/utils/hybrid_adaptive_technical_indicators.py,188,returns = prices.pct_change(fill_method=None).fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/features/utils/simple_adaptive_technical_indicators.py,72,"return macd_line.ffill().fillna(0), signal_line.ffill().fillna(0), histogram.ffill().fillna(0)",fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/features/utils/simple_adaptive_technical_indicators.py,72,"return macd_line.ffill().fillna(0), signal_line.ffill().fillna(0), histogram.ffill().fillna(0)",fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/features/utils/simple_adaptive_technical_indicators.py,72,"return macd_line.ffill().fillna(0), signal_line.ffill().fillna(0), histogram.ffill().fillna(0)",fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,archive/features/utils/simple_adaptive_technical_indicators.py,84,rolling_std = prices.rolling(window=base_period).std().ffill().fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,features/enrichers/economic_calendar_enricher.py,72,df_merged['surprise_index'] = df_merged['surprise_index'].ffill().fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,features/enrichers/improved_sentiment_enricher.py,98,.fillna(0)  # No change for first value,fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,features/enrichers/improved_sentiment_enricher.py,105,.fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P0,features,feature_module_must_not_emit_target_columns,main/modes/historical_replay.py,65,"all_model_paths = list(trained_models_dir.glob(""model_*_target_*.joblib""))",Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,main/modes/shadow_battle.py,59,"for model_path in trained_models_dir.glob(""model_*_target_*.joblib""):",Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,main/modes/shadow_battle.py,51,features_df['returns'] = features_df['close'].pct_change().fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,main/modes/shadow_battle.py,52,features_df['volatility_10'] = features_df['returns'].rolling(10).std().fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,models/analysis/baselines/models.py,35,X = X_clean.select_dtypes(include=[np.number]).fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,models/analysis/baselines/models.py,72,X = X_clean.select_dtypes(include=[np.number]).fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P1,risk_math,risk_metrics_no_fillna_zero_returns,pipeline/stages/prediction/data_preparer.py,211,ticker_df[model_feature_cols] = ticker_df[model_feature_cols].fillna(0),fillna(0) can hide missing data.,Drop/flag NaN explicitly.,Missing data not zero risk test.
P0,features,feature_module_must_not_emit_target_columns,scripts/config/ticker_config_updater.py,27,Оновити target_tickers в collectors_config.json,Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,scripts/config/ticker_config_updater.py,45,config['collectors']['yf']['additional_params']['target_tickers'] = tickers,Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
P0,features,feature_module_must_not_emit_target_columns,scripts/config/ticker_config_updater.py,73,return config['collectors']['yf']['additional_params']['target_tickers'],Feature modules emitting target_* can leak labels.,Move target generation into src/targets.,Enricher no target_* test.
